transcript,KO
Transcript_10181.p3,K10770
Transcript_10182.p1,
Transcript_10183.p1,
Transcript_10184.p1,
Transcript_10185.p3,
Transcript_10186.p1,K01403
Transcript_10187.p2,
Transcript_10188.p1,
Transcript_10189.p2,
Transcript_1019.p1,
Transcript_10190.p2,
Transcript_10191.p1,K08857
Transcript_10192.p2,
Transcript_10193.p1,
Transcript_10194.p1,K09580
Transcript_10195.p4,K11497
Transcript_10196.p3,
Transcript_10197.p2,K02935
Transcript_10198.p2,
Transcript_10199.p3,K15336
Transcript_102.p1,K00895
Transcript_1020.p1,K00339
Transcript_10200.p1,K04875
Transcript_10201.p1,K19673
Transcript_10202.p1,K00810
Transcript_10203.p1,
Transcript_10204.p2,
Transcript_10205.p1,K13917
Transcript_10206.p1,
Transcript_10207.p1,
Transcript_10208.p2,
Transcript_10209.p2,
Transcript_1021.p3,
Transcript_10210.p1,
Transcript_10211.p1,
Transcript_10212.p1,
Transcript_10213.p1,K01135
Transcript_10214.p1,
Transcript_10215.p1,K01135
Transcript_10216.p1,
Transcript_10217.p1,K08740
Transcript_10218.p1,
Transcript_1022.p2,K13026
Transcript_10221.p1,
Transcript_10222.p1,K13412
Transcript_10223.p1,
Transcript_10224.p2,
Transcript_10225.p1,
Transcript_10226.p1,
Transcript_10227.p3,
Transcript_10228.p1,
Transcript_10229.p1,
Transcript_1023.p4,
Transcript_10230.p1,
Transcript_10231.p1,
Transcript_10234.p2,K08853
Transcript_10235.p3,K06201
Transcript_10236.p2,
Transcript_10237.p5,
Transcript_10238.p2,
Transcript_10239.p3,
Transcript_1024.p1,
Transcript_10240.p1,
Transcript_10241.p1,K22207
Transcript_10242.p3,
Transcript_10243.p1,
Transcript_10244.p1,
Transcript_10245.p1,K19613
Transcript_10246.p2,K20293
Transcript_10247.p1,
Transcript_10249.p2,
Transcript_1025.p1,
Transcript_10250.p4,
Transcript_10251.p1,
Transcript_10252.p1,
Transcript_10253.p2,
Transcript_10256.p1,K03509
Transcript_10257.p1,
Transcript_10258.p1,
Transcript_10259.p1,
Transcript_1026.p1,
Transcript_10260.p2,
Transcript_10261.p2,K00703
Transcript_10262.p2,
Transcript_10263.p1,
Transcript_10265.p2,
Transcript_10266.p1,
Transcript_10267.p2,K10413
Transcript_10268.p2,
Transcript_10269.p1,
Transcript_10270.p1,
Transcript_10271.p2,
Transcript_10272.p1,
Transcript_10273.p1,
Transcript_10275.p2,
Transcript_10276.p1,
Transcript_10277.p1,
Transcript_1028.p1,
Transcript_10280.p2,K19674
Transcript_10281.p3,
Transcript_10284.p1,
Transcript_10285.p1,
Transcript_10287.p1,
Transcript_10288.p3,
Transcript_10289.p2,
Transcript_1029.p6,
Transcript_10291.p3,
Transcript_10292.p2,K21916
Transcript_10293.p1,K01093
Transcript_10294.p1,K23355
Transcript_10295.p1,
Transcript_10296.p1,K07407
Transcript_10297.p1,K06677
Transcript_10299.p1,
Transcript_103.p1,K07179
Transcript_1030.p1,
Transcript_10300.p1,
Transcript_10301.p1,K03857
Transcript_10302.p1,
Transcript_10303.p2,
Transcript_10304.p1,K08582
Transcript_10305.p4,
Transcript_10306.p1,K18443
Transcript_10307.p2,
Transcript_10308.p3,
Transcript_10309.p1,
Transcript_10310.p2,K15255
Transcript_10311.p3,K08815
Transcript_10312.p2,
Transcript_10313.p1,
Transcript_10314.p3,
Transcript_10315.p1,
Transcript_10316.p1,
Transcript_10317.p2,K14437
Transcript_10318.p2,
Transcript_10321.p3,K06001
Transcript_10322.p3,K06617
Transcript_10326.p1,K09658
Transcript_10327.p1,K06874
Transcript_10329.p4,K06678
Transcript_1033.p1,
Transcript_10330.p1,
Transcript_10334.p1,
Transcript_10336.p4,
Transcript_10337.p2,
Transcript_10339.p1,
Transcript_10341.p1,
Transcript_10342.p1,K03932
Transcript_10343.p1,
Transcript_10344.p1,
Transcript_10345.p2,
Transcript_10346.p2,
Transcript_10347.p1,
Transcript_10348.p1,
Transcript_10349.p1,
Transcript_1035.p1,
Transcript_10350.p1,
Transcript_10351.p2,
Transcript_10352.p1,
Transcript_10353.p2,
Transcript_10354.p2,K12661
Transcript_10355.p1,
Transcript_10356.p1,K11262
Transcript_10357.p2,K11262
Transcript_10358.p2,K02183
Transcript_10359.p2,
Transcript_1036.p2,K12180
Transcript_10360.p1,
Transcript_10361.p2,
Transcript_10362.p1,K13378
Transcript_10363.p1,K21814
Transcript_10364.p1,K09858
Transcript_10365.p3,
Transcript_10366.p1,K12823
Transcript_10367.p1,K06177
Transcript_10368.p1,K12823
Transcript_10369.p1,K13178
Transcript_1037.p2,
Transcript_10370.p5,K17609
Transcript_10371.p2,
Transcript_10372.p1,
Transcript_10373.p2,
Transcript_10374.p2,K20791
Transcript_10375.p1,
Transcript_10376.p2,
Transcript_10377.p1,
Transcript_10378.p1,K20069
Transcript_10379.p1,
Transcript_1038.p5,
Transcript_10380.p1,K01966
Transcript_10381.p1,K11271
Transcript_10384.p5,
Transcript_10385.p1,K00797
Transcript_10386.p1,
Transcript_10387.p3,
Transcript_10388.p3,
Transcript_10389.p1,K09592
Transcript_10390.p2,K14806
Transcript_10391.p1,
Transcript_10392.p1,
Transcript_10393.p1,
Transcript_10394.p1,
Transcript_10395.p1,
Transcript_10397.p1,
Transcript_10398.p1,
Transcript_10399.p2,K12460
Transcript_104.p1,K07179
Transcript_10401.p1,
Transcript_10402.p3,
Transcript_10403.p1,
Transcript_10404.p3,
Transcript_10405.p1,
Transcript_10406.p1,
Transcript_10407.p1,K14724
Transcript_10408.p1,K10960
Transcript_10409.p1,
Transcript_1041.p1,K16743
Transcript_10410.p5,K12603
Transcript_10411.p4,
Transcript_10412.p1,
Transcript_10413.p3,
Transcript_10414.p2,
Transcript_10415.p1,K04977
Transcript_10416.p1,
Transcript_10417.p1,
Transcript_10418.p2,K07056
Transcript_10419.p1,
Transcript_1042.p2,
Transcript_10423.p4,
Transcript_10424.p1,
Transcript_10425.p1,K15303
Transcript_10427.p1,
Transcript_10428.p1,K05038
Transcript_10429.p2,
Transcript_1043.p1,K14004
Transcript_10430.p1,
Transcript_10431.p1,
Transcript_10432.p1,
Transcript_10433.p3,
Transcript_10434.p2,K06195
Transcript_10435.p2,
Transcript_10436.p2,
Transcript_10437.p1,
Transcript_10438.p1,K10358
Transcript_10439.p3,
Transcript_1044.p3,
Transcript_10440.p1,K00558
Transcript_10441.p1,
Transcript_10442.p1,
Transcript_10443.p1,K22733
Transcript_10444.p1,
Transcript_10445.p1,
Transcript_10446.p1,
Transcript_10447.p2,K03447
Transcript_10448.p2,
Transcript_10449.p1,K06642
Transcript_1045.p1,
Transcript_10450.p1,
Transcript_10451.p1,
Transcript_10452.p4,
Transcript_10453.p3,
Transcript_10454.p1,
Transcript_10455.p2,
Transcript_10456.p1,
Transcript_10458.p2,K09420
Transcript_10459.p1,
Transcript_10460.p1,
Transcript_10462.p1,
Transcript_10463.p1,
Transcript_10465.p1,K13248
Transcript_10466.p1,
Transcript_10468.p1,
Transcript_10469.p1,
Transcript_10470.p4,
Transcript_10471.p1,K00626
Transcript_10472.p1,
Transcript_10473.p1,
Transcript_10474.p2,K03217
Transcript_10476.p3,
Transcript_10477.p2,
Transcript_10479.p1,
Transcript_10480.p1,
Transcript_10481.p1,
Transcript_10482.p1,K11251
Transcript_10483.p1,
Transcript_10484.p2,
Transcript_10485.p3,
Transcript_10486.p1,
Transcript_10487.p1,
Transcript_10488.p3,
Transcript_10489.p1,
Transcript_1049.p1,
Transcript_10490.p2,
Transcript_10491.p1,
Transcript_10492.p3,
Transcript_10494.p2,K17435
Transcript_10495.p2,
Transcript_10496.p2,
Transcript_10497.p1,
Transcript_10498.p3,
Transcript_10499.p1,
Transcript_105.p1,
Transcript_10501.p2,
Transcript_10502.p1,K12375
Transcript_10503.p1,K09506
Transcript_10505.p1,
Transcript_10506.p1,
Transcript_10507.p1,
Transcript_10509.p1,
Transcript_1051.p1,
Transcript_10511.p2,
Transcript_10513.p1,
Transcript_10514.p1,
Transcript_10518.p2,K10357
Transcript_1052.p2,K06252
Transcript_10521.p1,
Transcript_10524.p1,
Transcript_10526.p1,
Transcript_10527.p1,K02262
Transcript_10528.p1,
Transcript_10529.p1,
Transcript_10531.p1,
Transcript_10535.p1,
Transcript_10536.p1,
Transcript_10538.p3,
Transcript_10540.p2,
Transcript_10541.p1,
Transcript_10542.p1,
Transcript_10545.p1,
Transcript_10546.p2,
Transcript_10547.p2,
Transcript_10548.p1,
Transcript_1055.p2,K03031
Transcript_10550.p1,
Transcript_10551.p2,
Transcript_10552.p4,
Transcript_10559.p1,
Transcript_1056.p1,
Transcript_10563.p1,
Transcript_10564.p2,
Transcript_10569.p1,
Transcript_10570.p1,
Transcript_10571.p1,
Transcript_10572.p3,
Transcript_10573.p4,
Transcript_10574.p3,
Transcript_10575.p3,
Transcript_10576.p2,K05609
Transcript_10578.p1,
Transcript_10579.p2,
Transcript_1058.p2,K08857
Transcript_10582.p2,
Transcript_10585.p2,
Transcript_10586.p1,
Transcript_10587.p4,K10408
Transcript_10588.p2,
Transcript_10589.p1,
Transcript_1059.p3,K08202
Transcript_10591.p1,
Transcript_10592.p1,
Transcript_10593.p2,
Transcript_10595.p1,
Transcript_10596.p2,
Transcript_10597.p1,
Transcript_10598.p1,
Transcript_10599.p1,
Transcript_106.p2,
Transcript_1060.p3,K02728
Transcript_10601.p4,
Transcript_10602.p1,
Transcript_10604.p2,
Transcript_10605.p2,K19785
Transcript_10606.p2,
Transcript_10607.p1,
Transcript_10608.p1,
Transcript_10609.p1,
Transcript_1061.p3,
Transcript_10611.p1,
Transcript_10612.p1,
Transcript_10614.p2,K01803
Transcript_10615.p2,
Transcript_10617.p1,K20607
Transcript_10618.p2,
Transcript_10619.p1,
Transcript_1062.p1,
Transcript_10620.p1,
Transcript_10621.p1,
Transcript_10622.p1,
Transcript_10623.p1,
Transcript_10624.p1,
Transcript_10625.p1,K13751
Transcript_10627.p1,
Transcript_10628.p1,
Transcript_10629.p1,
Transcript_1063.p2,
Transcript_10630.p1,
Transcript_10631.p1,K03686
Transcript_10632.p1,K17710
Transcript_10633.p2,
Transcript_10634.p1,K03037
Transcript_10635.p1,K12873
Transcript_10636.p1,
Transcript_10637.p4,
Transcript_10638.p1,
Transcript_10639.p2,
Transcript_1064.p1,
Transcript_10640.p3,
Transcript_10641.p1,
Transcript_10642.p1,
Transcript_10643.p2,
Transcript_10644.p1,K04567
Transcript_10645.p1,K13116
Transcript_10646.p1,
Transcript_10648.p1,
Transcript_10649.p1,K03350
Transcript_10650.p4,
Transcript_10651.p1,
Transcript_10652.p2,
Transcript_10653.p6,K22372
Transcript_10654.p1,
Transcript_10655.p1,K08857
Transcript_10657.p3,
Transcript_10658.p1,
Transcript_10659.p1,
Transcript_1066.p1,
Transcript_10660.p4,
Transcript_10661.p1,
Transcript_10662.p1,
Transcript_10663.p2,K01867
Transcript_10664.p1,
Transcript_10665.p1,K01126
Transcript_10666.p1,
Transcript_10667.p1,
Transcript_10668.p1,
Transcript_10669.p2,
Transcript_1067.p1,
Transcript_10670.p2,
Transcript_10671.p1,
Transcript_10672.p1,
Transcript_10673.p1,
Transcript_10674.p1,K22132
Transcript_10675.p1,K11847
Transcript_10676.p1,
Transcript_10677.p1,K20221
Transcript_10678.p3,
Transcript_10679.p2,
Transcript_1068.p2,
Transcript_10680.p2,
Transcript_10682.p1,
Transcript_10683.p1,
Transcript_10684.p1,
Transcript_10685.p1,K00648
Transcript_10686.p2,K11340
Transcript_10687.p1,
Transcript_10688.p6,K12035
Transcript_10689.p2,
Transcript_1069.p3,
Transcript_10690.p2,K01510
Transcript_10691.p2,K10380
Transcript_10692.p2,
Transcript_10693.p1,K18655
Transcript_10694.p1,
Transcript_10696.p1,
Transcript_10697.p2,
Transcript_10698.p3,K03426
Transcript_10699.p1,
Transcript_107.p2,K09592
Transcript_1070.p3,
Transcript_10700.p2,
Transcript_10701.p1,K19370
Transcript_10702.p1,
Transcript_10703.p1,K04078
Transcript_10704.p3,
Transcript_10705.p1,
Transcript_10706.p1,
Transcript_10707.p1,
Transcript_10708.p2,
Transcript_10709.p2,K03844
Transcript_10710.p3,
Transcript_10711.p3,
Transcript_10712.p2,
Transcript_10713.p1,
Transcript_10714.p1,K17586
Transcript_10715.p1,
Transcript_10717.p1,K00231
Transcript_10718.p1,K02324
Transcript_10719.p5,
Transcript_10720.p1,
Transcript_10721.p1,
Transcript_10722.p2,
Transcript_10723.p1,
Transcript_10724.p6,
Transcript_10726.p1,
Transcript_10727.p2,
Transcript_10728.p1,
Transcript_10729.p1,
Transcript_10730.p1,
Transcript_10731.p1,K01480
Transcript_10732.p8,
Transcript_10733.p1,K19668
Transcript_10734.p1,
Transcript_10735.p5,
Transcript_10736.p3,
Transcript_10737.p1,
Transcript_10738.p1,
Transcript_10739.p1,
Transcript_1074.p3,
Transcript_10740.p1,
Transcript_10741.p8,K08515
Transcript_10742.p1,K08515
Transcript_10743.p1,K08515
Transcript_10744.p4,
Transcript_10745.p2,K05719
Transcript_10746.p1,
Transcript_10747.p1,
Transcript_10749.p1,
Transcript_10750.p3,K05546
Transcript_10752.p3,
Transcript_10756.p1,
Transcript_10757.p3,
Transcript_10759.p2,K12946
Transcript_10765.p2,K03735
Transcript_10767.p2,
Transcript_10768.p4,K02604
Transcript_10773.p4,
Transcript_10774.p2,
Transcript_10779.p1,
Transcript_1078.p1,
Transcript_10781.p1,
Transcript_10782.p1,K03530
Transcript_10783.p1,
Transcript_10784.p3,
Transcript_10785.p1,
Transcript_10786.p5,
Transcript_10787.p1,
Transcript_10788.p1,
Transcript_10789.p1,
Transcript_10790.p2,K15283
Transcript_10791.p1,
Transcript_10792.p1,
Transcript_10793.p1,
Transcript_10794.p2,
Transcript_10795.p1,
Transcript_10796.p1,
Transcript_10797.p2,
Transcript_10798.p1,
Transcript_10799.p1,
Transcript_108.p2,
Transcript_1080.p3,
Transcript_10800.p1,
Transcript_10801.p2,
Transcript_10802.p2,K20784
Transcript_10803.p1,
Transcript_10804.p1,
Transcript_10805.p3,K00653
Transcript_10806.p1,
Transcript_10807.p3,
Transcript_10808.p2,
Transcript_10809.p1,
Transcript_10810.p1,
Transcript_10811.p1,
Transcript_10812.p3,K02941
Transcript_10813.p2,
Transcript_10814.p3,
Transcript_10815.p1,
Transcript_10816.p2,K01488
Transcript_10817.p1,
Transcript_10818.p2,
Transcript_10819.p1,K01201
Transcript_1082.p1,
Transcript_10820.p1,
Transcript_10822.p3,
Transcript_10824.p1,
Transcript_10825.p1,
Transcript_10826.p1,K23025
Transcript_10827.p1,K23025
Transcript_10828.p1,
Transcript_10829.p2,
Transcript_1083.p1,K04368
Transcript_10831.p1,K10396
Transcript_10832.p2,
Transcript_10834.p1,
Transcript_10835.p1,
Transcript_10836.p4,K13989
Transcript_10837.p1,
Transcript_10838.p1,
Transcript_10839.p1,
Transcript_1084.p1,K10380
Transcript_10840.p2,
Transcript_10841.p1,
Transcript_10842.p1,
Transcript_10843.p1,
Transcript_10844.p2,
Transcript_10845.p1,K03353
Transcript_10846.p2,K09500
Transcript_10847.p1,
Transcript_10848.p2,K01094
Transcript_10849.p3,
Transcript_1085.p1,
Transcript_10850.p1,
Transcript_10851.p1,
Transcript_10852.p1,K16606
Transcript_10853.p1,K15111
Transcript_10854.p3,K01358
Transcript_10855.p2,
Transcript_10856.p1,K07611
Transcript_10857.p2,
Transcript_10858.p1,
Transcript_10859.p1,
Transcript_1086.p2,
Transcript_10860.p3,
Transcript_10861.p1,K08869
Transcript_10862.p1,
Transcript_10863.p1,K01057
Transcript_10864.p1,
Transcript_10865.p3,
Transcript_10866.p3,
Transcript_10867.p2,
Transcript_10868.p1,
Transcript_10869.p1,
Transcript_10870.p2,
Transcript_10871.p1,K16726
Transcript_10872.p1,
Transcript_10873.p1,
Transcript_10874.p1,K08490
Transcript_10875.p2,
Transcript_10876.p3,
Transcript_10877.p2,K14773
Transcript_10878.p1,
Transcript_10879.p3,
Transcript_10880.p1,
Transcript_10881.p2,
Transcript_10882.p1,
Transcript_10883.p1,
Transcript_10885.p1,
Transcript_10886.p1,
Transcript_10887.p1,
Transcript_10888.p1,K06943
Transcript_10889.p2,
Transcript_1089.p1,
Transcript_10890.p1,
Transcript_10891.p1,
Transcript_10892.p1,
Transcript_10893.p1,K20784
Transcript_10894.p1,K20784
Transcript_10895.p1,
Transcript_10896.p2,
Transcript_10897.p3,
Transcript_10898.p1,K18208
Transcript_10899.p1,
Transcript_109.p1,
Transcript_1090.p2,K14787
Transcript_10900.p1,
Transcript_10902.p2,
Transcript_10904.p1,K17893
Transcript_10905.p2,
Transcript_10906.p1,
Transcript_10907.p1,
Transcript_10908.p1,K18730
Transcript_10909.p1,
Transcript_10910.p2,
Transcript_10911.p1,
Transcript_10912.p2,K21767
Transcript_10913.p2,K11420
Transcript_10914.p3,
Transcript_10915.p2,
Transcript_10916.p4,
Transcript_10917.p2,
Transcript_10918.p1,K11858
Transcript_10919.p1,
Transcript_10920.p2,
Transcript_10921.p2,
Transcript_10922.p1,K13917
Transcript_10923.p1,K04445
Transcript_10924.p2,
Transcript_10925.p4,
Transcript_10926.p2,
Transcript_10928.p1,
Transcript_10929.p1,
Transcript_1093.p1,
Transcript_10930.p1,
Transcript_10931.p1,
Transcript_10932.p1,
Transcript_10933.p1,
Transcript_10934.p1,
Transcript_10935.p2,K09553
Transcript_10936.p1,
Transcript_10937.p1,
Transcript_10938.p1,
Transcript_10939.p2,
Transcript_10941.p1,
Transcript_10942.p2,
Transcript_10943.p2,
Transcript_10944.p1,K03675
Transcript_10945.p2,
Transcript_10946.p1,
Transcript_10947.p3,
Transcript_10948.p2,
Transcript_10949.p1,
Transcript_1095.p1,K03262
Transcript_10950.p3,
Transcript_10951.p1,
Transcript_10952.p2,
Transcript_10953.p1,
Transcript_10954.p1,K02876
Transcript_10955.p1,
Transcript_10956.p1,
Transcript_10957.p4,K14959
Transcript_10958.p4,
Transcript_10959.p2,
Transcript_10960.p1,
Transcript_10961.p1,
Transcript_10962.p1,
Transcript_10963.p1,
Transcript_10964.p1,
Transcript_10965.p1,
Transcript_10966.p1,
Transcript_10967.p2,
Transcript_10968.p1,
Transcript_10969.p2,
Transcript_10970.p1,K00213
Transcript_10971.p2,K10870
Transcript_10972.p1,
Transcript_10973.p1,
Transcript_10974.p1,
Transcript_10975.p1,K14726
Transcript_10976.p1,K16745
Transcript_10977.p1,
Transcript_10978.p2,K01227
Transcript_10979.p1,
Transcript_10980.p1,
Transcript_10981.p1,
Transcript_10982.p3,K14005
Transcript_10983.p5,
Transcript_10984.p1,
Transcript_10985.p1,
Transcript_10986.p1,
Transcript_10987.p1,K06176
Transcript_10988.p1,K10297
Transcript_10990.p2,
Transcript_10991.p2,
Transcript_10992.p1,
Transcript_10993.p1,
Transcript_10994.p4,
Transcript_10995.p1,
Transcript_10996.p1,
Transcript_10997.p1,
Transcript_10998.p2,
Transcript_10999.p1,
Transcript_11.p1,
Transcript_110.p2,
Transcript_11000.p1,K15085
Transcript_11001.p1,
Transcript_11002.p4,K17562
Transcript_11003.p3,
Transcript_11004.p1,
Transcript_11005.p1,
Transcript_11006.p2,
Transcript_11007.p2,
Transcript_11008.p3,
Transcript_11009.p3,
Transcript_1101.p3,K10408
Transcript_11010.p2,K00472
Transcript_11011.p1,
Transcript_11012.p1,
Transcript_11013.p1,
Transcript_11014.p1,
Transcript_11015.p3,
Transcript_11016.p1,
Transcript_11017.p1,
Transcript_11018.p1,K22721
Transcript_11019.p1,
Transcript_11021.p3,
Transcript_11023.p2,
Transcript_11024.p2,
Transcript_11025.p1,
Transcript_11026.p2,
Transcript_11027.p1,K02863
Transcript_11028.p1,K22736
Transcript_11029.p1,
Transcript_1103.p2,
Transcript_11030.p1,
Transcript_11031.p1,K15503
Transcript_11032.p2,
Transcript_11034.p4,
Transcript_11035.p1,
Transcript_11036.p1,
Transcript_11037.p1,
Transcript_11038.p1,K03524
Transcript_11039.p2,
Transcript_11040.p1,
Transcript_11041.p2,
Transcript_11042.p3,
Transcript_11043.p9,
Transcript_11044.p1,K12619
Transcript_11045.p2,K00558
Transcript_11046.p2,
Transcript_11047.p2,
Transcript_11048.p6,
Transcript_11049.p1,
Transcript_1105.p1,
Transcript_11050.p1,K22503
Transcript_11052.p1,
Transcript_11053.p2,
Transcript_11054.p4,K12828
Transcript_11055.p3,
Transcript_11056.p1,K12891
Transcript_11057.p4,
Transcript_11058.p3,
Transcript_11059.p1,K15040
Transcript_1106.p6,K11593
Transcript_11060.p1,
Transcript_11061.p7,
Transcript_11062.p1,
Transcript_11063.p1,
Transcript_11064.p1,
Transcript_11065.p2,K20131
Transcript_11066.p1,
Transcript_11067.p1,
Transcript_11068.p2,
Transcript_11069.p2,
Transcript_11070.p2,K06640
Transcript_11071.p1,
Transcript_11072.p3,
Transcript_11073.p2,
Transcript_11074.p4,
Transcript_11075.p2,K09560
Transcript_11076.p1,
Transcript_11077.p3,
Transcript_11078.p1,
Transcript_11079.p1,K01228
Transcript_11080.p1,
Transcript_11081.p3,
Transcript_11082.p2,K15186
Transcript_11083.p1,
Transcript_11084.p1,
Transcript_11085.p1,
Transcript_11086.p3,
Transcript_11087.p1,
Transcript_11088.p2,
Transcript_11089.p1,K06118
Transcript_1109.p1,
Transcript_11090.p2,
Transcript_11091.p1,K02216
Transcript_11092.p1,
Transcript_11093.p1,
Transcript_11094.p1,
Transcript_11095.p2,
Transcript_11096.p3,K03100
Transcript_11097.p1,K03513
Transcript_11098.p3,
Transcript_11099.p1,
Transcript_111.p1,
Transcript_1110.p1,
Transcript_11100.p4,
Transcript_11101.p1,
Transcript_11102.p1,K03354
Transcript_11103.p1,K17759
Transcript_11104.p1,
Transcript_11105.p2,
Transcript_11106.p1,
Transcript_11107.p1,
Transcript_11108.p1,K16474
Transcript_11109.p1,K02183
Transcript_11110.p1,
Transcript_11111.p1,K10582
Transcript_11112.p1,
Transcript_11113.p1,
Transcript_11114.p1,
Transcript_11115.p1,
Transcript_11116.p4,K09669
Transcript_11118.p1,K10408
Transcript_11119.p1,
Transcript_1112.p2,
Transcript_11120.p1,
Transcript_11121.p2,
Transcript_11122.p1,
Transcript_11123.p2,K16914
Transcript_11124.p1,K01276
Transcript_11125.p1,
Transcript_11126.p6,K09569
Transcript_11127.p3,
Transcript_11128.p1,
Transcript_11129.p1,
Transcript_1113.p2,
Transcript_11130.p1,K04564
Transcript_11131.p1,
Transcript_11133.p1,
Transcript_11134.p2,
Transcript_11135.p2,
Transcript_11136.p1,
Transcript_11137.p1,K17768
Transcript_11138.p1,
Transcript_11139.p1,K10691
Transcript_1114.p1,
Transcript_11140.p1,
Transcript_11141.p1,
Transcript_11142.p2,K02295
Transcript_11143.p1,
Transcript_11144.p2,K00472
Transcript_11146.p2,K16582
Transcript_11147.p1,
Transcript_11148.p2,
Transcript_11149.p2,
Transcript_1115.p1,
Transcript_11150.p1,
Transcript_11151.p2,
Transcript_11152.p1,
Transcript_11155.p3,K03243
Transcript_11156.p1,K09503
Transcript_11157.p1,
Transcript_11158.p4,
Transcript_11159.p1,
Transcript_11160.p1,
Transcript_11161.p1,
Transcript_11162.p1,
Transcript_11164.p1,K14676
Transcript_11165.p1,
Transcript_11166.p1,K14286
Transcript_11167.p1,
Transcript_11168.p1,
Transcript_11169.p1,
Transcript_11170.p2,
Transcript_11172.p1,
Transcript_11173.p2,
Transcript_11174.p1,
