,seqid,Dbxref,Name,Note
45856,Transcript_10183,"""Pfam:PF13646.2""",HEAT_2,HEAT repeats
45891,Transcript_10185,"""Pfam:PF03083.12""",MtN3_slv,Sugar efflux transporter for intercellular exchange
45894,Transcript_10186,"""Pfam:PF00040.15""",fn2,Fibronectin type II domain
45896,Transcript_10187,"""Pfam:PF04969.12""",CS,CS domain
25690,Transcript_1019,"""Pfam:PF04727.9""",ELMO_CED12,ELMO/CED-12 family
45897,Transcript_10191,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
45902,Transcript_10192,"""Pfam:PF03969.12""",AFG1_ATPase,AFG1-like ATPase
45904,Transcript_10194,"""Pfam:PF00085.16""",Thioredoxin,Thioredoxin
45918,Transcript_10197,"""Pfam:PF00542.15""",Ribosomal_L12,Ribosomal protein L7/L12 C-terminal domain
45922,Transcript_10199,"""Pfam:PF00145.13""",DNA_methylase,C-5 cytosine-specific DNA methylase
25691,Transcript_1020,"""Pfam:PF00499.16""",Oxidored_q3,NADH-ubiquinone/plastoquinone oxidoreductase chain 6
45924,Transcript_10200,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
45957,Transcript_10202,"""Pfam:PF01040.14""",UbiA,UbiA prenyltransferase family
45958,Transcript_10204,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
45959,Transcript_10205,"""Pfam:PF00782.16""",DSPc,"Dual specificity phosphatase, catalytic domain"
45960,Transcript_10206,"""Pfam:PF07500.10""",TFIIS_M,"Transcription factor S-II (TFIIS), central domain"
25694,Transcript_1021,"""Pfam:PF00146.17""",NADHdh,NADH dehydrogenase
45961,Transcript_10210,"""Pfam:PF08325.6""",WLM,WLM domain
45963,Transcript_10211,"""Pfam:PF13857.2""",Ank_5,Ankyrin repeats (many copies)
45972,Transcript_10213,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
45976,Transcript_10214,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
46028,Transcript_10215,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
46029,Transcript_10216,"""Pfam:PF00650.16""",CRAL_TRIO,CRAL/TRIO domain
46030,Transcript_10217,"""Pfam:PF00488.17""",MutS_V,MutS domain V
46034,Transcript_10218,"""Pfam:PF13519.2""",VWA_2,von Willebrand factor type A domain
25697,Transcript_1022,"""Pfam:PF07717.12""",OB_NTP_bind,Oligonucleotide/oligosaccharide-binding (OB)-fold
46039,Transcript_10222,"""Pfam:PF00036.28""",EF-hand_1,EF hand
46049,Transcript_10225,"""Pfam:PF13469.2""",Sulfotransfer_3,Sulfotransferase family
46051,Transcript_10227,"""Pfam:PF13646.2""",HEAT_2,HEAT repeats
46052,Transcript_10230,"""Pfam:PF02214.18""",BTB_2,BTB/POZ domain
46066,Transcript_10231,"""Pfam:PF13041.2""",PPR_2,PPR repeat family
46075,Transcript_10234,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46078,Transcript_10235,"""Pfam:PF03932.10""",CutC,CutC family
46084,Transcript_10236,"""Pfam:PF13450.2""",NAD_binding_8,NAD(P)-binding Rossmann-like domain
46090,Transcript_10238,"""Pfam:PF01613.14""",Flavin_Reduct,Flavin reductase like domain
46092,Transcript_10239,"""Pfam:PF00027.25""",cNMP_binding,Cyclic nucleotide-binding domain
46093,Transcript_10241,"""Pfam:PF00266.15""",Aminotran_5,Aminotransferase class-V
46094,Transcript_10244,"""Pfam:PF15780.1""",ASH,"Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin"
46096,Transcript_10245,"""Pfam:PF13855.2""",LRR_8,Leucine rich repeat
46118,Transcript_10246,"""Pfam:PF06419.7""",COG6,Conserved oligomeric complex COG6
46120,Transcript_10247,"""Pfam:PF03016.11""",Exostosin,Exostosin family
46121,Transcript_10250,"""Pfam:PF13640.2""",2OG-FeII_Oxy_3,2OG-Fe(II) oxygenase superfamily
46123,Transcript_10252,"""Pfam:PF01490.14""",Aa_trans,Transmembrane amino acid transporter protein
46124,Transcript_10256,"""Pfam:PF00817.16""",IMS,impB/mucB/samB family
46132,Transcript_10260,"""Pfam:PF13385.2""",Laminin_G_3,Concanavalin A-like lectin/glucanases superfamily
46134,Transcript_10261,"""Pfam:PF08323.7""",Glyco_transf_5,Starch synthase catalytic domain
46137,Transcript_10262,"""Pfam:PF05637.8""",Glyco_transf_34,galactosyl transferase GMA12/MNN10 family
46138,Transcript_10263,"""Pfam:PF00550.21""",PP-binding,Phosphopantetheine attachment site
46140,Transcript_10265,"""Pfam:PF03016.11""",Exostosin,Exostosin family
46141,Transcript_10271,"""Pfam:PF00754.21""",F5_F8_type_C,F5/8 type C domain
46142,Transcript_10272,"""Pfam:PF00027.25""",cNMP_binding,Cyclic nucleotide-binding domain
46144,Transcript_10287,"""Pfam:PF08666.8""",SAF,SAF domain
46147,Transcript_10291,"""Pfam:PF02493.16""",MORN,MORN repeat
46150,Transcript_10292,"""Pfam:PF02214.18""",BTB_2,BTB/POZ domain
46152,Transcript_10294,"""Pfam:PF14822.2""",Vasohibin,Vasohibin
46153,Transcript_10296,"""Pfam:PF16499.1""",Melibiase_2,Alpha galactosidase A
46156,Transcript_10297,"""Pfam:PF12717.3""",Cnd1,non-SMC mitotic condensation complex subunit 1
24087,Transcript_103,"""Pfam:PF01163.18""",RIO1,RIO1 family
46157,Transcript_10301,"""Pfam:PF08288.8""",PIGA,PIGA (GPI anchor biosynthesis)
46164,Transcript_10304,"""Pfam:PF00648.17""",Peptidase_C2,Calpain family cysteine protease
46165,Transcript_10309,"""Pfam:PF04178.8""",Got1,Got1/Sft2-like family
46166,Transcript_10310,"""Pfam:PF13538.2""",UvrD_C_2,UvrD-like helicase C-terminal domain
46167,Transcript_10311,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46168,Transcript_10313,"""Pfam:PF07593.8""",UnbV_ASPIC,ASPIC and UnbV
46171,Transcript_10317,"""Pfam:PF00176.19""",SNF2_N,SNF2 family N-terminal domain
46172,Transcript_10322,"""Pfam:PF05691.8""",Raffinose_syn,Raffinose synthase or seed imbibition protein Sip1
46173,Transcript_10326,"""Pfam:PF07297.8""",DPM2,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
46175,Transcript_10327,"""Pfam:PF03367.9""",zf-ZPR1,ZPR1 zinc-finger domain
46176,Transcript_10329,"""Pfam:PF13646.2""",HEAT_2,HEAT repeats
25698,Transcript_1033,"""Pfam:PF00999.17""",Na_H_Exchanger,Sodium/hydrogen exchanger family
46184,Transcript_10349,"""Pfam:PF01979.16""",Amidohydro_1,Amidohydrolase family
25702,Transcript_1035,"""Pfam:PF14226.2""",DIOX_N,non-haem dioxygenase in morphine synthesis N-terminal
46185,Transcript_10350,"""Pfam:PF00160.17""",Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
46186,Transcript_10353,"""Pfam:PF01757.18""",Acyl_transf_3,Acyltransferase family
46188,Transcript_10354,"""Pfam:PF13378.2""",MR_MLE_C,Enolase C-terminal domain-like
46189,Transcript_10355,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46192,Transcript_10356,"""Pfam:PF02786.13""",CPSase_L_D2,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
46195,Transcript_10357,"""Pfam:PF02785.15""",Biotin_carb_C,Biotin carboxylase C-terminal domain
46196,Transcript_10358,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
46230,Transcript_10360,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
46232,Transcript_10361,"""Pfam:PF05721.9""",PhyH,Phytanoyl-CoA dioxygenase (PhyH)
46233,Transcript_10363,"""Pfam:PF00149.24""",Metallophos,Calcineurin-like phosphoesterase
46235,Transcript_10366,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
46240,Transcript_10367,"""Pfam:PF00849.18""",PseudoU_synth_2,RNA pseudouridylate synthase
46241,Transcript_10368,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
46247,Transcript_10369,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
46248,Transcript_10370,"""Pfam:PF13905.2""",Thioredoxin_8,Thioredoxin-like
46253,Transcript_10373,"""Pfam:PF05648.10""",PEX11,Peroxisomal biogenesis factor 11 (PEX11)
46254,Transcript_10374,"""Pfam:PF00583.20""",Acetyltransf_1,Acetyltransferase (GNAT) family
46257,Transcript_10378,"""Pfam:PF07933.10""",DUF1681,Protein of unknown function (DUF1681)
46258,Transcript_10379,"""Pfam:PF05603.8""",DUF775,Protein of unknown function (DUF775)
46260,Transcript_10380,"""Pfam:PF01039.18""",Carboxyl_trans,Carboxyl transferase domain
46262,Transcript_10381,"""Pfam:PF09724.5""",DUF2036,Uncharacterized conserved protein (DUF2036)
46263,Transcript_10385,"""Pfam:PF01564.13""",Spermine_synth,Spermine/spermidine synthase
46298,Transcript_10387,"""Pfam:PF13414.2""",TPR_11,TPR repeat
46328,Transcript_10388,"""Pfam:PF02696.10""",UPF0061,"Uncharacterized ACR, YdiU/UPF0061 family"
46330,Transcript_10389,"""Pfam:PF12681.3""",Glyoxalase_2,Glyoxalase-like domain
46332,Transcript_10390,"""Pfam:PF00271.27""",Helicase_C,Helicase conserved C-terminal domain
46337,Transcript_10391,"""Pfam:PF02515.13""",CoA_transf_3,CoA-transferase family III
46338,Transcript_10392,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
46340,Transcript_10394,"""Pfam:PF00648.17""",Peptidase_C2,Calpain family cysteine protease
46341,Transcript_10395,"""Pfam:PF00149.24""",Metallophos,Calcineurin-like phosphoesterase
46342,Transcript_10397,"""Pfam:PF01554.14""",MatE,MatE
46353,Transcript_10398,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
46373,Transcript_10399,"""Pfam:PF13857.2""",Ank_5,Ankyrin repeats (many copies)
46391,Transcript_10407,"""Pfam:PF00999.17""",Na_H_Exchanger,Sodium/hydrogen exchanger family
46402,Transcript_10411,"""Pfam:PF00176.19""",SNF2_N,SNF2 family N-terminal domain
46403,Transcript_10415,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
46404,Transcript_10416,"""Pfam:PF07784.7""",DUF1622,Protein of unknown function (DUF1622)
46405,Transcript_10417,"""Pfam:PF00107.22""",ADH_zinc_N,Zinc-binding dehydrogenase
46407,Transcript_10418,"""Pfam:PF00590.16""",TP_methylase,Tetrapyrrole (Corrin/Porphyrin) Methylases
25704,Transcript_1042,"""Pfam:PF00300.18""",His_Phos_1,Histidine phosphatase superfamily (branch 1)
46409,Transcript_10425,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
46410,Transcript_10428,"""Pfam:PF00209.14""",SNF,Sodium:neurotransmitter symporter family
46412,Transcript_10431,"""Pfam:PF04013.8""",Methyltrn_RNA_2,Putative SAM-dependent RNA methyltransferase
46414,Transcript_10432,"""Pfam:PF10184.5""",DUF2358,Uncharacterized conserved protein (DUF2358)
46419,Transcript_10434,"""Pfam:PF04379.10""",DUF525,Protein of unknown function (DUF525)
46421,Transcript_10438,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
46422,Transcript_10440,"""Pfam:PF00145.13""",DNA_methylase,C-5 cytosine-specific DNA methylase
46424,Transcript_10441,"""Pfam:PF00856.24""",SET,SET domain
46425,Transcript_10442,"""Pfam:PF13301.2""",DUF4079,Protein of unknown function (DUF4079)
46426,Transcript_10443,"""Pfam:PF05653.10""",Mg_trans_NIPA,Magnesium transporter NIPA
46429,Transcript_10445,"""Pfam:PF00168.26""",C2,C2 domain
46437,Transcript_10448,"""Pfam:PF00787.20""",PX,PX domain
46438,Transcript_10449,"""Pfam:PF00454.23""",PI3_PI4_kinase,Phosphatidylinositol 3- and 4-kinase
46440,Transcript_10451,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
46445,Transcript_10454,"""Pfam:PF13832.2""",zf-HC5HC2H_2,PHD-zinc-finger like domain
46448,Transcript_10456,"""Pfam:PF14240.2""",YHYH,YHYH protein
46451,Transcript_10458,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
46454,Transcript_10465,"""Pfam:PF06888.8""",Put_Phosphatase,Putative Phosphatase
46455,Transcript_10466,"""Pfam:PF02515.13""",CoA_transf_3,CoA-transferase family III
46456,Transcript_10468,"""Pfam:PF00628.25""",PHD,PHD-finger
46457,Transcript_10471,"""Pfam:PF00108.19""",Thiolase_N,"Thiolase, N-terminal domain"
46461,Transcript_10472,"""Pfam:PF09335.7""",SNARE_assoc,SNARE associated Golgi protein
46463,Transcript_10474,"""Pfam:PF02096.16""",60KD_IMP,60Kd inner membrane protein
46465,Transcript_10481,"""Pfam:PF04968.8""",CHORD,CHORD
46466,Transcript_10482,"""Pfam:PF16211.1""",Histone_H2A_C,C-terminus of histone H2A
46469,Transcript_10486,"""Pfam:PF02535.18""",Zip,ZIP Zinc transporter
46470,Transcript_10487,"""Pfam:PF01612.16""",DNA_pol_A_exo1,3'-5' exonuclease
46472,Transcript_10494,"""Pfam:PF08561.6""",Ribosomal_L37,Mitochondrial ribosomal protein L37
46474,Transcript_10496,"""Pfam:PF03738.10""",GSP_synth,Glutathionylspermidine synthase preATP-grasp
46475,Transcript_10499,"""Pfam:PF13578.2""",Methyltransf_24,Methyltransferase domain
46476,Transcript_10501,"""Pfam:PF05577.8""",Peptidase_S28,Serine carboxypeptidase S28
46478,Transcript_10502,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
46479,Transcript_10503,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
46480,Transcript_10507,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46481,Transcript_10511,"""Pfam:PF05637.8""",Glyco_transf_34,galactosyl transferase GMA12/MNN10 family
46483,Transcript_10513,"""Pfam:PF11951.4""",Fungal_trans_2,Fungal specific transcription factor domain
46484,Transcript_10514,"""Pfam:PF07992.10""",Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase
46487,Transcript_10518,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
46491,Transcript_10527,"""Pfam:PF00510.14""",COX3,Cytochrome c oxidase subunit III
46494,Transcript_10540,"""Pfam:PF00849.18""",PseudoU_synth_2,RNA pseudouridylate synthase
25715,Transcript_1055,"""Pfam:PF10075.5""",CSN8_PSD8_EIF3K,CSN8/PSMD8/EIF3K family
46495,Transcript_10551,"""Pfam:PF01149.20""",Fapy_DNA_glyco,Formamidopyrimidine-DNA glycosylase N-terminal domain
46496,Transcript_10563,"""Pfam:PF16927.1""",HisKA_7TM,N-terminal 7TM region of histidine kinase
46497,Transcript_10564,"""Pfam:PF05383.13""",La,La domain
46498,Transcript_10571,"""Pfam:PF13676.2""",TIR_2,TIR domain
46499,Transcript_10572,"""Pfam:PF03407.12""",Nucleotid_trans,Nucleotide-diphospho-sugar transferase
46500,Transcript_10576,"""Pfam:PF01088.17""",Peptidase_C12,"Ubiquitin carboxyl-terminal hydrolase, family 1"
25716,Transcript_1058,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46501,Transcript_10587,"""Pfam:PF12774.3""",AAA_6,Hydrolytic ATP binding site of dynein motor region D1
46503,Transcript_10591,"""Pfam:PF00403.22""",HMA,Heavy-metal-associated domain
46504,Transcript_10596,"""Pfam:PF09335.7""",SNARE_assoc,SNARE associated Golgi protein
46506,Transcript_10598,"""Pfam:PF13673.2""",Acetyltransf_10,Acetyltransferase (GNAT) domain
25720,Transcript_1060,"""Pfam:PF00227.22""",Proteasome,Proteasome subunit
46507,Transcript_10602,"""Pfam:PF01825.17""",GPS,"GPCR proteolysis site, GPS, motif"
46508,Transcript_10608,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
46520,Transcript_10611,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
46534,Transcript_10614,"""Pfam:PF00121.14""",TIM,Triosephosphate isomerase
46535,Transcript_10617,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46543,Transcript_10621,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
46547,Transcript_10625,"""Pfam:PF01699.20""",Na_Ca_ex,Sodium/calcium exchanger protein
46562,Transcript_10631,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
46564,Transcript_10632,"""Pfam:PF13041.2""",PPR_2,PPR repeat family
46575,Transcript_10634,"""Pfam:PF10602.5""",RPN7,26S proteasome subunit RPN7
46577,Transcript_10635,"""Pfam:PF01125.13""",G10,G10 protein
46579,Transcript_10640,"""Pfam:PF04916.9""",Phospholip_B,Phospholipase B
46580,Transcript_10644,"""Pfam:PF00152.16""",tRNA-synt_2,"tRNA synthetases class II (D, K and N)"
46585,Transcript_10645,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
46589,Transcript_10646,"""Pfam:PF08711.7""",Med26,TFIIS helical bundle-like domain
46590,Transcript_10649,"""Pfam:PF12895.3""",ANAPC3,"Anaphase-promoting complex, cyclosome, subunit 3"
46622,Transcript_10653,"""Pfam:PF13540.2""",RCC1_2,Regulator of chromosome condensation (RCC1) repeat
46630,Transcript_10654,"""Pfam:PF12695.3""",Abhydrolase_5,Alpha/beta hydrolase family
46633,Transcript_10655,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
46638,Transcript_10658,"""Pfam:PF12695.3""",Abhydrolase_5,Alpha/beta hydrolase family
46641,Transcript_10659,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
46648,Transcript_10662,"""Pfam:PF01490.14""",Aa_trans,Transmembrane amino acid transporter protein
46649,Transcript_10663,"""Pfam:PF00579.21""",tRNA-synt_1b,tRNA synthetases class I (W and Y)
46650,Transcript_10665,"""Pfam:PF03009.13""",GDPD,Glycerophosphoryl diester phosphodiesterase family
46651,Transcript_10666,"""Pfam:PF11527.4""",ARL2_Bind_BART,The ARF-like 2 binding protein BART
46698,Transcript_10667,"""Pfam:PF03151.12""",TPT,Triose-phosphate Transporter family
46705,Transcript_10668,"""Pfam:PF13424.2""",TPR_12,Tetratricopeptide repeat
46741,Transcript_10670,"""Pfam:PF03547.14""",Mem_trans,Membrane transport protein
46745,Transcript_10672,"""Pfam:PF01965.20""",DJ-1_PfpI,DJ-1/PfpI family
46747,Transcript_10673,"""Pfam:PF00173.24""",Cyt-b5,Cytochrome b5-like Heme/Steroid binding domain
46748,Transcript_10674,"""Pfam:PF00899.17""",ThiF,ThiF family
46749,Transcript_10675,"""Pfam:PF01753.14""",zf-MYND,MYND finger
46753,Transcript_10677,"""Pfam:PF13646.2""",HEAT_2,HEAT repeats
46759,Transcript_10679,"""Pfam:PF10294.5""",Methyltransf_16,Lysine methyltransferase
46760,Transcript_10682,"""Pfam:PF08613.7""",Cyclin,Cyclin
46765,Transcript_10683,"""Pfam:PF01753.14""",zf-MYND,MYND finger
46777,Transcript_10684,"""Pfam:PF03781.12""",FGE-sulfatase,Sulfatase-modifying factor enzyme 1
46779,Transcript_10685,"""Pfam:PF08541.6""",ACP_syn_III_C,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
46782,Transcript_10686,"""Pfam:PF00022.15""",Actin,Actin
46795,Transcript_10690,"""Pfam:PF01150.13""",GDA1_CD39,GDA1/CD39 (nucleoside phosphatase) family
46800,Transcript_10691,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
46811,Transcript_10692,"""Pfam:PF00777.14""",Glyco_transf_29,Glycosyltransferase family 29 (sialyltransferase)
46812,Transcript_10693,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
46813,Transcript_10698,"""Pfam:PF00293.24""",NUDIX,NUDIX domain
24094,Transcript_107,"""Pfam:PF13640.2""",2OG-FeII_Oxy_3,2OG-Fe(II) oxygenase superfamily
46877,Transcript_10700,"""Pfam:PF09414.6""",RNA_ligase,RNA ligase
46878,Transcript_10701,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
46881,Transcript_10702,"""Pfam:PF05050.8""",Methyltransf_21,Methyltransferase FkbM domain
46883,Transcript_10703,"""Pfam:PF00166.17""",Cpn10,Chaperonin 10 Kd subunit
46885,Transcript_10704,"""Pfam:PF00355.22""",Rieske,Rieske [2Fe-2S] domain
46886,Transcript_10709,"""Pfam:PF15924.1""",ALG11_N,ALG11 mannosyltransferase N-terminus
46892,Transcript_10714,"""Pfam:PF00628.25""",PHD,PHD-finger
46894,Transcript_10715,"""Pfam:PF00557.20""",Peptidase_M24,Metallopeptidase family M24
